CLIENT ID,CLIENT_SEGMENT,AVG CONSO,AVG BASKET SIZE,RECEIVED_COMMUNICATION
24353983,4,"21,67","86,67",0
24354016,2,"67,08","201,25",0
24354163,2,"45,83",275,0
24354201,3,"16,67",200,0
24354232,3,"33,33",200,0
24354302,1,"145,83","218,75",0
24354380,4,"17,5",105,0
24354394,5,"6,67",40,0
24354917,3,"37,5",150,0
24355002,3,"29,17",350,0
24355077,2,"183,33",440,0
24355133,2,"86,67",208,0
24355289,6,"179,17","358,33",0
24355334,2,"133,33",400,0
24355386,2,"73,33",176,0
24355485,5,15,90,0
24355619,4,"16,67",200,0
24355636,6,"69,17","276,67",0
24355740,1,"204,75","223,36",0
24355802,3,"46,67","62,22",0
24355930,3,"41,67","166,67",0
24356147,4,"20,83",125,0
24356218,5,"1,67",10,0
24356291,3,"29,17",175,0
24356376,1,"84,17","168,33",0
24356576,2,75,300,0
24356589,6,"150,58","200,78",0
24356610,5,"7,5",90,0
24356663,6,"116,67","466,67",0
24356689,5,"12,5",150,0
24356958,2,"37,5",450,0
24357087,3,50,150,0
24357093,3,"33,33",100,0
24357162,6,"41,67",250,0
24357189,3,"73,33",88,0
24357378,2,"54,17","216,67",0
24357404,2,"87,5",525,0
24357430,1,"183,33",200,0
24357521,5,"8,33",100,0
24357765,2,"79,17",190,0
24357841,5,"12,5",150,0
24358361,3,"41,67",250,0
24358395,2,"54,17","216,67",0
24358435,2,"59,17",142,0
24358524,4,"3,33",40,0
24358566,6,"31,25",125,0
24358660,3,"37,5",90,0
24358732,4,25,100,0
24358742,3,25,150,0
24358833,6,"6,67",80,0
24358934,4,"18,33","73,33",0
24359078,2,"62,5","187,5",0
24359223,2,"62,92","251,67",0
24359374,3,"48,33","64,44",0
24359529,6,"108,33",260,0
24359545,1,"212,5","283,33",0
24359754,2,"83,33",200,0
24359802,5,10,40,0
24359855,4,"19,17","57,5",0
24359971,2,"154,17",370,0
24360058,3,"41,67",125,0
24360346,6,"104,17",250,0
24360430,3,"33,33",200,0
24360590,2,"104,17",250,0
24360765,4,15,60,0
24360975,3,"20,83",250,0
24361005,4,"12,5",150,0
24361007,3,"37,5",150,0
24361030,3,40,120,0
24361457,4,25,50,0
24361571,4,"22,5",135,0
24361609,2,"133,33",400,0
24361910,3,"55,83","167,5",0
24362039,4,"22,5",135,0
24362085,4,"16,67",200,0
24362197,3,"33,33",200,0
24362271,4,"16,67",100,0
24362404,5,"1,67",20,0
24362588,2,"87,5","262,5",0
24362669,4,"20,83",125,0
24362768,3,"41,67",100,0
24362846,4,"18,33",44,0
24362859,5,"12,5",50,0
24362989,2,"137,5",330,0
24363135,3,"39,17","117,5",0
24363152,2,"133,33",400,0
24363209,4,"24,17",58,0
24363341,6,"8,33",50,0
24363405,3,"43,33",260,0
24363434,2,"116,67",350,0
24363642,3,40,"68,57",0
24363766,6,150,300,0
24363805,3,"42,83","171,33",0
24363854,1,"136,67",205,0
24363960,4,"8,33",100,0
24364222,4,"12,5",150,0
24364315,4,"16,67",200,0
24364335,2,"63,33",152,0
24364357,3,50,60,0
24364450,2,"83,33",200,0
24364494,3,"34,17","45,56",0
24364505,5,"4,17",50,0
24364535,1,"97,5",130,0
24364663,2,"57,5","172,5",0
24364676,4,"20,83",250,0
24364951,4,"3,33",40,0
24365080,3,"33,33",200,0
24365142,3,"16,67",200,0
24365210,5,"6,67",80,0
24365348,3,"50,42","201,67",0
24365522,6,"188,08","451,4",0
24365687,5,"7,5",90,0
24365871,5,"4,17",50,0
24365875,3,50,200,0
24365883,6,"62,5",250,0
24365895,2,"82,5",198,0
24365947,2,"158,92","476,75",0
24366009,6,"96,67","193,33",0
24366126,3,55,165,0
24366220,4,"8,33",50,0
24366310,2,90,540,0
24366574,6,325,"557,14",0
24366635,4,"12,08","72,5",0
24366654,1,70,140,0
24366686,4,"16,67",100,0
24366723,1,60,120,0
24366830,1,"84,33","126,5",0
24366877,5,"9,17",55,0
24366948,3,"50,42","201,67",0
24366949,4,"16,67",200,0
24367031,4,"15,83",95,0
24367061,1,"150,58","200,78",0
24367064,1,"100,42","200,83",0
24367586,3,50,200,0
24367594,5,"5,83",35,0
24367666,6,25,150,0
24367754,1,"179,17","238,89",0
24367836,6,"37,5",450,0
24367837,2,"70,83","212,5",0
24367844,3,"55,83","223,33",0
24367996,5,"8,33",50,0
24368008,6,"187,5","562,5",0
24368030,3,40,80,0
24368172,4,5,60,0
24368295,3,"45,83","137,5",0
24368326,4,"14,17","56,67",0
24368778,4,"15,83",95,0
24369311,3,"62,5","107,14",0
24369486,2,50,200,0
24369546,4,"4,17",50,0
24369856,3,"37,5","112,5",0
24369881,2,100,400,0
24369969,3,"33,33",400,0
24370041,1,"116,67",200,0
24370156,3,"33,92","203,5",0
24370258,3,50,200,0
24370392,2,"66,67",200,0
24370493,4,"16,67",200,0
24370550,6,"113,5","340,5",0
24370873,6,"33,75","202,5",0
24370884,3,"29,17",175,0
24371238,5,"2,5",15,0
24371258,4,"14,17",170,0
24371416,6,"116,67",350,0
24371492,4,"3,33",40,0
24371599,2,"59,33","237,33",0
24371600,1,"83,33",100,0
24371660,6,"16,67",200,0
24371987,4,"12,5",150,0
24372034,3,"79,17","105,56",0
24372053,2,100,300,0
24372060,4,"29,17","116,67",0
24372351,2,"208,33",500,0
24372366,4,"7,5",45,0
24372732,1,95,"162,86",0
24372770,5,"8,33",100,0
24372860,4,"9,17","36,67",0
24372878,1,"77,5","132,86",0
24373181,6,"83,33",250,0
24373272,4,"8,33",100,0
24373280,2,100,300,0
24373309,4,"13,33",80,0
24373364,3,"54,17","162,5",0
24373392,1,"137,5","183,33",0
24373433,3,"33,33","133,33",0
24373459,5,"2,5",30,0
24373625,2,"104,17",250,0
24373673,3,"33,33",200,0
24373718,5,"0,83",10,0
24373743,3,"33,33",200,0
24373836,2,"62,5","187,5",0
24373937,2,"33,33",400,0
24373951,4,20,60,0
24373957,5,"2,5",30,0
24374038,2,"62,92",151,0
24374046,4,"32,5",78,0
24374097,5,5,60,0
24374158,1,"161,67","215,56",0
24374266,2,"41,67",250,0
24374291,4,"8,33",100,0
24374827,5,"8,33",100,0
24374831,5,"11,67",70,0
24374855,3,"22,5",270,0
24375175,5,10,60,0
24375249,2,"62,92","188,75",0
24375262,3,"52,5",126,0
24375276,4,"11,67",70,0
24375285,2,"63,08","151,4",0
24375352,2,"58,92","141,4",0
24375398,1,"195,83","130,56",0
24375399,4,"8,33",50,0
24375489,5,"3,33",40,0
24375525,4,15,90,0
24375711,5,"4,17",50,0
24375867,4,"23,33",280,0
24375980,4,10,60,0
24376022,3,"47,25",189,0
24376359,4,"11,67",70,0
24376363,3,"33,33","133,33",0
24376371,4,"23,33","93,33",0
24376457,6,"167,25","200,7",0
24376551,6,"29,17",350,0
24376570,1,"111,67","148,89",0
24376706,4,10,120,0
24376879,4,"25,83","77,5",0
24376991,3,25,300,0
24377169,4,"29,17",175,0
24377410,2,"66,67",200,0
24377471,4,"15,83","63,33",0
24377569,1,"109,17","187,14",0
24377693,2,"87,5",210,0
24377745,4,"20,83","62,5",0
24377809,3,"53,33","91,43",0
24377830,3,"31,67","126,67",0
24377839,4,"20,83",125,0
24377920,2,75,225,0
24377975,1,"119,25","178,88",0
24378022,2,"20,83",250,0
24378106,3,"41,67","166,67",0
24378163,6,"179,17","537,5",0
24378208,2,"58,33",175,0
24378229,1,"76,25","83,18",0
24378246,1,"85,83",103,0
24378252,1,"62,5","68,18",0
24378475,5,"8,33",100,0
24378539,4,"15,83","47,5",0
24378908,4,"12,5",150,0
24379078,4,"8,33",100,0
24379154,3,"72,5",58,0
24379168,2,"71,67",215,0
24379608,2,"67,08","201,25",0
24379634,5,"6,67",80,0
24379681,4,"8,33",100,0
24379687,4,"29,17","21,88",0
24379703,3,"16,67",200,0
24379757,3,50,200,0
24380130,5,"2,5",30,0
24380457,2,75,225,0
24380549,1,"106,67","98,46",0
24380599,5,5,60,0
24380711,6,"67,08","402,5",0
24380749,3,"45,83","183,33",0
24380761,1,"104,17","208,33",0
24380818,1,"155,83",170,0
24381225,6,"183,33",550,0
24381495,3,"32,5",130,0
24381525,2,65,195,0
24381560,4,"16,67",200,0
24381578,2,"108,92","326,75",0
24381679,4,45,"67,5",0
24381712,5,10,60,0
24381839,2,125,500,0
24381842,4,"13,33",80,0
24381856,1,"67,5",81,0
24381880,2,75,450,0
24381884,6,"33,33",200,0
24381928,3,50,150,0
24381967,1,"63,08","94,63",0
24382087,5,"3,33",40,0
24382193,1,"216,67","216,67",0
24382241,4,"20,83",250,0
24382300,3,"45,83","183,33",0
24382301,6,"3,33",40,0
24382483,6,"87,5",350,0
24382526,6,"11,67","46,67",0
24382555,2,"66,67",200,0
24382571,2,"83,33",200,0
24382580,5,10,120,0
24382596,4,"28,33",85,0
24382776,1,"353,92","707,83",0
24382777,1,"108,33","185,71",0
24382825,6,"12,5",150,0
24382915,1,"183,33","314,29",0
24382924,3,"16,67",200,0
24383019,4,"16,67",200,0
24383396,2,"75,58","302,33",0
24383478,3,"36,67","73,33",0
24383749,2,75,180,0
24383770,3,"33,92","203,5",0
24383893,3,"37,5",225,0
24384178,3,"46,42","185,67",0
24384254,1,"94,75","189,5",0
24384286,2,"129,17","387,5",0
24384375,6,"179,17",430,0
24384424,5,"6,67",80,0
24384702,3,"41,67","166,67",0
24384746,3,25,150,0
24384826,3,30,120,0
24384872,4,"18,33",220,0
24384920,1,"139,17",167,0
24384955,4,"7,5",45,0
24385039,4,"10,83",65,0
24385118,3,"29,75","178,5",0
24385144,1,"137,25","149,73",0
24385311,5,"10,83",65,0
24385615,2,50,300,0
24385617,1,"129,75","194,63",0
24385677,3,"45,83","183,33",0
24385732,2,"87,5",210,0
24385830,4,10,120,0
24385996,4,"19,17","38,33",0
24386077,5,"3,33",40,0
24386105,6,"25,42",305,0
24386141,2,"73,33",220,0
24386149,3,"30,83","123,33",0
24386200,5,"14,17","42,5",0
24386354,6,"16,67",200,0
24386515,5,"6,67",80,0
24386701,1,"102,5","102,5",0
24386810,4,25,100,0
24386913,5,10,60,0
24387090,1,"108,33","185,71",0
24387321,1,"121,42","182,13",0
24387389,5,"5,83",70,0
24387525,5,"0,83",10,0
24387534,4,"27,5","82,5",0
24387576,5,"2,5",15,0
24387832,5,5,60,0
24387871,5,"2,5",15,0
24387874,3,"37,5",150,0
24387920,5,5,60,0
24387954,4,"16,67",100,0
24388033,3,"93,75","93,75",0
24388066,2,"66,67",200,0
24388270,3,"13,33",160,0
24388323,2,"92,25","221,4",0
24388410,4,"37,5",225,0
24388452,2,"179,17",430,0
24388460,4,"23,33","93,33",0
24388502,3,"42,5","127,5",0
24388688,5,"13,33",80,0
24388689,3,"45,83","183,33",0
24388766,1,"75,83","113,75",0
24388767,2,"87,5","262,5",0
24388782,1,"107,5",215,0
24388935,6,10,120,0
24388960,3,40,96,0
24389034,4,20,60,0
24389140,3,"50,83","152,5",0
24389156,3,"59,17",71,0
24389161,4,30,60,0
24389274,4,"12,5",150,0
24389278,4,"6,67",80,0
24389351,3,"45,83","183,33",0
24389624,5,"4,17",50,0
24389807,2,"62,5","187,5",0
24389842,4,"13,33",80,0
24389878,3,"33,33","133,33",0
24390117,2,"66,67",200,0
24390324,4,15,90,0
24390420,5,5,60,0
24390434,4,"20,83",125,0
24390440,2,"62,5",150,0
24390524,4,"8,33",100,0
24390573,1,"54,17","108,33",0
24390767,4,"21,67",65,0
24390769,2,"58,33","233,33",0
24390888,3,"20,83",125,0
24390892,3,"33,33",100,0
24390916,3,20,120,0
24390945,4,"20,83","83,33",0
24391344,1,"70,83","121,43",0
24391660,1,"87,5",175,0
24391663,5,"8,33",50,0
24392304,3,"41,67",250,0
24392387,1,"95,83","164,29",0
24392393,6,"183,33",200,0
24392578,4,10,120,0
24392715,3,"20,83",250,0
24392795,4,"16,67",100,0
24392882,2,"178,33",428,0
24393066,3,"47,5","47,5",0
24393106,5,"8,33",50,0
24393282,2,150,900,0
24393419,1,"162,5","243,75",0
24393548,2,"141,67",340,0
24393588,4,"30,83","92,5",0
24393737,3,"29,17",350,0
24393836,1,"103,33","177,14",0
24393966,1,175,210,0
24393968,3,"34,17",82,0
24394122,1,"208,33","277,78",0
24394135,4,"14,17",85,0
24394356,4,"26,67",160,0
24394372,5,"8,33",50,0
24394469,4,"29,17","116,67",0
24394836,3,"53,08","106,17",0
24395006,2,25,300,0
24395241,2,"33,33",200,0
24395385,1,"142,5",285,0
24395396,4,"15,83",95,0
24395457,2,"87,5",210,0
24395496,1,95,"126,67",0
24395530,2,"70,83","283,33",0
24395545,6,"33,33",200,0
24395623,2,50,300,0
24395653,4,"16,67",200,0
24396114,5,"6,67",80,0
24396124,3,"33,33",100,0
24396158,1,150,200,0
24396358,4,25,100,0
24396414,3,"33,33","133,33",0
24396446,6,50,300,0
24396588,1,"266,67","133,33",0
24396617,4,"10,83",130,0
24396659,4,"17,5",70,0
24396757,5,"8,33",50,0
24396812,1,"67,5",135,0
24396892,5,"0,83",10,0
24396906,2,"229,75","551,4",0
24397110,3,"37,5",150,0
24397197,5,"4,17",50,0
24397741,2,"62,5",150,0
24397743,1,"101,67","174,29",0
24397770,2,"137,5",330,0
24397827,2,"37,5",225,0
24398201,5,"6,67","26,67",0
24398207,1,"88,25","176,5",0
24398246,2,"91,67",275,0
24398309,4,"50,83","101,67",0
24398320,4,"19,17","57,5",0
24398374,3,"49,17",59,0
24398437,5,"8,33",100,0
24398457,4,"11,67",70,0
24398553,1,"121,42","208,14",0
24398642,2,"87,08",209,0
24399097,3,"41,67","166,67",0
24399131,3,"68,33","102,5",0
24399167,1,125,250,0
24399325,4,"29,17",350,0
24399545,3,"26,67",160,0
24399561,6,"66,67",400,0
24399604,4,"8,33",100,0
24399612,1,"141,67","283,33",0
24399759,3,60,"55,38",0
24399801,1,100,200,0
24399852,3,"38,08","152,33",0
24399908,3,"33,33",100,0
24399951,5,"10,83","43,33",0
24400044,1,"72,67","145,33",0
24400129,4,5,60,0
24400143,1,"141,67","283,33",0
24400159,3,"41,67",125,0
24400194,2,"58,33",350,0
24400230,3,"35,83",86,0
24400244,3,"78,33",94,0
24400310,1,"72,5","124,29",0
24400326,1,"74,17",89,0
24400455,4,"16,67",100,0
24400599,5,"12,5",75,0
24400634,3,25,300,0
24400969,5,5,60,0
24400998,4,"16,67",100,0
24401145,2,"73,08","175,4",0
24401267,1,"104,17","178,57",0
24401437,1,"75,42","150,83",0
24401446,2,"71,67",172,0
24401650,5,"3,33",40,0
24401662,6,"100,58","603,5",0
24401771,6,"177,5","152,14",0
24401785,5,"1,67",20,0
24401804,2,"50,58","202,33",0
24402017,1,"130,83",157,0
24402110,1,"73,33","125,71",0
24402513,2,"66,67","266,67",0
24402542,1,"72,5","124,29",0
24402580,1,"60,58","103,86",0
24402593,1,150,225,0
24402798,1,"124,75","166,33",0
24402877,3,50,200,0
24402993,2,"83,33",500,0
24403027,1,"54,17","108,33",0
24403029,4,"2,5",30,0
24403151,4,"31,67",76,0
24403248,1,"95,83","88,46",0
24403329,1,125,150,0
24403473,6,"104,17",250,0
24403509,2,"58,75",235,0
24403605,2,125,300,0
24403866,3,55,"94,29",0
24404013,5,"6,67",80,0
24404221,5,"6,67",40,0
24404315,1,"144,17","115,33",0
24404476,3,"36,67",88,0
24404592,5,"4,17",50,0
24404689,2,"66,67",200,0
24404893,2,"70,83","212,5",0
24404990,1,"171,42","205,7",0
24405165,5,"3,33",20,0
24405247,1,"195,83","213,64",0
24405257,2,"116,67","466,67",0
24405699,3,"49,17",118,0
24405701,2,"120,83","362,5",0
24406000,4,"16,67",200,0
24406132,1,"106,67","98,46",0
24406368,2,"65,83","197,5",0
24406374,3,"43,92","131,75",0
24406402,1,"126,67","126,67",0
24406466,4,"8,33",100,0
24406540,3,"51,67","51,67",0
24406612,4,"8,33",100,0
24406629,3,"58,75",235,0
24406655,1,"143,33","122,86",0
24406658,4,"7,5",45,0
24406715,5,"8,33",100,0
24406746,3,"33,33",200,0
24406752,3,"33,33",200,0
24406982,3,"37,5",225,0
24407066,5,"1,67",20,0
24407152,4,"18,33","73,33",0
24407164,1,"68,92","137,83",0
24407445,3,"41,67",250,0
24407470,3,"48,33","96,67",0
24407578,4,"16,67",200,0
24407601,2,300,900,0
24407762,3,"45,83","137,5",0
24407781,1,"133,33","228,57",0
24407913,2,"62,25","186,75",0
24407940,5,"1,67",20,0
24407959,4,"20,83",50,0
24408195,4,50,100,0
24408547,1,"133,33","177,78",0
24408595,3,"34,17",205,0
24408744,1,"108,33","216,67",0
24408807,1,"141,67","212,5",0
24408876,1,"141,67","188,89",0
24408908,4,"16,67",200,0
24409006,1,"62,92","125,83",0
24409333,3,50,200,0
24409470,5,"1,67",20,0
24409719,4,"8,33",100,0
24409823,4,"12,5",75,0
24410060,4,"16,67",200,0
24410118,2,"108,33",325,0
24410406,4,"11,67",70,0
24410691,3,"58,33",50,0
24410696,3,"71,67","53,75",0
24410698,6,"8,33",100,0
24410805,4,"16,67",200,0
24410828,2,"95,83",230,0
24410844,2,"66,67",200,0
24411153,4,"12,5",150,0
24411210,6,75,225,0
24411261,1,"196,25","261,67",0
24411311,4,"17,5",105,0
24411322,4,"26,67","106,67",0
24411369,4,"15,83","63,33",0
24411467,3,"45,83",275,0
24411561,4,25,100,0
24411711,4,55,"73,33",0
24411785,3,"41,67",100,0
24411788,4,"21,67","43,33",0
24411844,2,75,450,0
24411904,3,"29,17",175,0
24411926,4,"17,5",105,0
24411950,1,"113,08","226,17",0
24411969,1,"153,33",230,0
24412473,4,"24,17","41,43",0
